Name,Technology,Prop Type,AngelList,Crunchbase,Domain,HQ Address,City,State,Zip,# Founders,Founded,Years Active,# of Funding Rounds,Valuation Rank,Funding/Year Rank,Total Funding Rank,ARR Rank,CAFR Rank,Avg. Funding/Year,ARR/Funds Raised,Total Funding,Estimated ARR,CFRGR (Compound Funding Round Growth Rate),CAFR,Latest Valuation,Latest Valuation Year,Accelerator,Accelerator 2,Pre-Seed Date,Pre-Seed $,Seed Date,Seed $,Bridge Date,Bridge $,A Round Date,A Round $,B Round Date,B Round $,C Round Date,C Round $,D Round Date,D Round $,E Round Date,E Round $,F Round Date,F Round $,G Round Date,G Round $,H Round Date,H Round $,Unknown Series Date,Unknown Series $,Non-Dilutive Round Date,Non-Dilutive Round $,Exit Date,Exit $,Acquirer
Aurora Solar,,ALL,https://angel.co/company/aurora-solar,https://www.crunchbase.com/organization/aurora-solar,https://www.aurorasolar.com/,434 Brannan St,San Francisco,CA,94107,2,2013,12,4,1,25,19,,#N/A,"$43,625,000 ",,"$523,500,000 ","$10,000,000 ",80.60%,21.78%,"$4,000,000,000 ",2022,,,,,,,,,4-Feb-19,"$23,500,000 ",30-Nov-20,"$50,000,000 ",24-May-21,"$250,000,000 ",28-Feb-22,"$200,000,000 ",,,,,,,,,,,,,,,
EquipmentShare,,Construction,https://wellfound.com/company/equipmentshare,https://www.crunchbase.com/organization/equipmentshare,https://www.equipmentshare.com/,,Columbia,MO,,5,2014,11,7,2,5,2,,,"$182,890,909 ",,"$2,011,800,000 ","$300,000,000 ",,,"$3,890,000,000 ",2023,,,,,6-May-15,,,,25-May-16,"$5,500,000 ",24-Jan-17,"$26,000,000 ",31-Dec-20,"$100,300,000 ",15-Jul-21,"$230,000,000 ",13-Sep-23,"$440,000,000 ",,,,,,,5-Oct-19,"$10,000,000 ",1-Sep-21,"$1,200,000,000 ",,,
Verkada,,Commercial,https://angel.co/company/verkada,https://www.crunchbase.com/organization/verkada,https://www.verkada.com/,,San Mateo,CA,,4,2016,8,5,3,20,29,,,"$55,537,500 ",,"$444,300,000 ",,,,"$3,200,000,000 ",2022,,,,,21-Sep-17,"$3,900,000 ",,,11-Apr-18,"$15,000,000 ",25-Apr-19,"$40,000,000 ",29-Jan-20,"$80,000,000 ",10-Oct-23,"$305,000,000 ",,,,,,,,,,,28-Oct-16,"$400,000 ",,,
Loft,,Residential,,https://www.crunchbase.com/organization/loft-br,https://loft.com.br/,2840 Rua Augusta,Sao Paulo,Brazil,,9,2018,7,5,4,8,6,5,15,"$126,857,143 ",$0.17 ,"$888,000,000 ","$150,000,000.00 ",96.33%,61.91%,"$2,900,000,000 ",2021,,,,,,,,,1-Jan-18,"$18,000,000 ",20-Mar-19,"$70,000,000 ",3-Jan-20,"$175,000,000 ",22-Apr-21,"$525,000,000 ",,,,,,,,,8-Aug-23,"$100,000,000 ",,,,,
Side Inc.,,Residential,,https://www.crunchbase.com/organization/side-5e5b,https://www.sideinc.com/,466 Brannan Street,San Francisco,CA,94107,3,2017,8,6,5,35,38,,#N/A,"$32,937,500 ",,"$263,500,000 ","$50,000,000 ",97.86%,66.83%,"$2,500,000,000 ",2021,,,,,20-Jan-17,"$2,500,000 ",,,1-Mar-17,"$8,000,000 ",6-Mar-19,"$18,000,000 ",7-Jul-19,"$35,000,000 ",19-Mar-21,"$150,000,000 ",,,,,,,,,28-Jun-21,"$50,000,000 ",,,,,
Enpal,,Residential,https://angel.co/company/enpal-1,https://www.crunchbase.com/organization/enpal,https://www.enpal.de/,,Berlin,Germany,,3,2017,8,3,6,4,3,,#N/A,"$222,500,000 ",,"$1,780,000,000 ","$113,200,000 ",110.55%,32.21%,"$2,400,000,000 ",2023,,,25-Jul-17,,20-Jul-18,,,,20-Aug-19,,4-May-21,,17-Oct-21,"$150,000,000 ",9-Jan-23,"$230,000,000 ",,,,,,,,,,,15-Dec-22,"$1,400,000,000 ",,,
Divvy Homes,,Residential,,https://www.crunchbase.com/organization/divvy-homes,https://www.divvyhomes.com/,,San Francisco,CA,,4,2017,8,6,7,6,5,,9,"$153,125,000 ",,"$1,225,000,000 ",,122.75%,82.33%,"$2,000,000,000 ",2021,,,,,25-Jan-18,"$7,000,000 ",,,9-Oct-18,"$10,000,000 ",25-Sep-19,"$43,000,000 ",2-Feb-21,"$110,000,000 ",13-Aug-21,"$200,000,000 ",,,,,,,,,,,12-Oct-21,"$855,000,000 ",,,
Lessen,,ALL,https://angel.co/company/lessen-1,https://www.crunchbase.com/organization/lessen,https://www.lessen.com/,,Scottsdale,AZ,,1,2019,6,3,7,9,10,,20,"$122,500,000 ",,"$735,000,000 ","$56,000,000 ",142.64%,55.77%,"$2,000,000,000 ",2023,,,,,,,,,24-Jun-21,"$35,000,000 ",1-May-22,"$200,000,000 ",,,,,,,,,,,,,11-Jan-23,"$500,000,000 ",,,,,
ICON,,,https://angel.co/company/icon-15,https://www.crunchbase.com/organization/icon3d,https://www.iconbuild.com/,,Austin,TX,,3,2017,8,4,9,19,28,,19,"$56,437,500 ",,"$451,500,000 ","$18,000,000 ",156.90%,60.28%,"$1,985,000,000 ",2022,,,,,17-Oct-18,"$9,000,000 ",,,19-Aug-20,"$35,000,000 ",18-Feb-22,"$392,000,000 ",,,,,,,,,,,,,20-Jan-21,"$15,500,000 ",,,,,
Roofstock,,Residential,https://angel.co/company/roofstock,https://www.crunchbase.com/organization/roofstock,https://www.roofstock.com/,,Oakland,CA,,4,2015,7,8,10,22,33,,,"$52,185,714 ",,"$365,300,000 ","$13,400,000 ",,,"$1,940,000,000 ",2022,,,,,,,,,3-Mar-16,"$7,000,000 ",14-Nov-16,"$20,000,000 ",18-Jan-18,"$42,000,000 ",8-Jan-20,"$50,000,000 ",10-Mar-22,"$240,000,000 ",,,,,,,28-Jul-15,"$6,300,000 ",,,,,
VTS,Leasing,All,https://angel.co/view-the-space,https://www.crunchbase.com/organization/vts#section-twitter,www.vts.com,"114 W. 41st Street, 11th Floor",New York,NY,10018,6,2011,14,7,11,34,27,,39,"$33,021,429 ",,"$462,300,000 ","$75,000,000 ",69.06%,30.02%,"$1,725,000,000 ",2022,,,,," Dec 20, 2013        
","$3,800,000 ",,, 1/31/2015,"$17,500,000 ", 7/15/2015,"$21,000,000 ", 5/4/2016,"$55,000,000 ", 5/6/2019,"$90,000,000 ",6-Sep-22,"$125,000,000 ",,,,,,,,,3-Mar-22,"$150,000,000 ",,,
HomeLight,,Multifamily,https://angel.co/company/homelight,https://www.crunchbase.com/organization/homelight,https://www.homelight.com/,,San Francisco,CA,,3,2012,13,6,12,18,9,,21,"$57,115,385 ",,"$742,500,000 ","$300,000,000 ",160.06%,55.44%,"$1,700,000,000 ",2022,,,,,15-Nov-12,"$1,500,000 ",,,18-Apr-16,"$14,000,000 ",15-Aug-17,"$40,000,000 ",5-Nov-19,"$63,000,000 ",16-Jun-22,"$160,000,000 ",,,,,,,,,,,16-Jun-22,"$464,000,000 ",,,
SnapDocs,,Multifamily,https://angel.co/company/snapdocs,https://www.crunchbase.com/organization/snapdocs,https://snapdocs.com/,100 Montgomery St,San Francisco ,CA,94104,1,2012,13,5,13,47,40,,38,"$19,461,538 ",,"$253,000,000 ","$4,700,000 ",118.67%,35.11%,"$1,550,000,000 ",2021,,,,,25-Mar-14,"$3,000,000 ",,,21-Nov-17,"$15,000,000 ",7-Nov-19,"$25,000,000 ",12-Oct-20,"$60,000,000 ",25-May-21,"$150,000,000 ",,,,,,,,,,,,,,,
Pacaso,,Residential,https://angel.co/company/pacaso,https://www.crunchbase.com/organization/pacaso,https://www.pacaso.com/,18 E. 4th Street,Cincinnati,OH,45202,2,2020,5,4,14,2,4,,2,"$293,400,000 ",,"$1,467,000,000 ","$330,000,000 ",192.83%,136.21%,"$1,500,000,000 ",2023,,,,,,,,,1-Oct-20,"$17,000,000 ",24-Mar-21,"$75,000,000 ",14-Sep-21,"$125,000,000 ",,,,,,,,,,,,,24-Mar-21,"$1,250,000,000 ",,,
Knock.com,,Residential,https://angel.co/company/knock-7,https://www.crunchbase.com/organization/knockaway,https://www.knock.com/,335 Madison Avenue,New York,NY ,10017,3,2014,11,5,14,16,13,,17,"$59,500,000 ",,"$654,500,000 ",,188.54%,61.88%,"$1,500,000,000 ",Estimate,,,,,12-May-16,"$2,000,000 ",,,31-Jan-17,"$32,500,000 ",15-Jan-19,"$400,000,000 ",,,,,,,,,,,,,15-Mar-22,"$70,000,000 ",15-Mar-22,"$150,000,000 ",,,
Arcadia,,ALL,https://angel.co/company/arcadia-power,https://www.crunchbase.com/organization/arcadia-power-2,https://www.arcadia.com/,,Washington,DC,,2,2014,8,9,14,15,22,,,"$61,187,500 ",,"$489,500,000 ",,,,"$1,500,000,000 ",2022,,,,,18-Aug-16,"$3,500,000 ",,,1-Jun-17,"$6,000,000 ",15-Aug-18,"$25,000,000 ",10-Dec-19,"$30,000,000 ",15-Sep-21,"$100,000,000 ",10-May-22,"$200,000,000 ",,,,,,,16-Dec-22,"$125,000,000 ",,,,,
Updater,,Multifamily,https://angel.co/company/updater,https://www.crunchbase.com/organization/updater,https://updater.com/,,New York,NY,,1,2010,15,4,14,36,26,,,"$31,166,667 ",,"$467,500,000 ",,,43.64%,"$1,500,000,000 ",2022,,,,,1-Jun-12,"$1,500,000 ",,,1-Apr-14,"$8,000,000 ",,,,,,,,,,,,,,,19-Dec-19,"$115,000,000 ",17-May-22,"$343,000,000 ",,,
Built Technologies,,ALL,https://angel.co/company/built-technologies,https://www.crunchbase.com/organization/built-technologies-inc,https://getbuilt.com/,,Nashville,TN,,2,2014,11,5,14,38,35,,48,"$28,427,273 ",,"$312,700,000 ","$30,000,000 ",42.87%,17.61%,"$1,500,000,000 ",2022,,,,,,,,,14-Nov-17,"$21,000,000 ",29-Apr-19,"$55,100,000 ",4-Feb-21,"$88,000,000 ",30-Sep-21,"$125,000,000 ",,,,,,,,,13-Apr-23,"$23,600,000 ",,,,,
Bilt Rewards,,Residential,,https://www.crunchbase.com/organization/bilt-technologies,https://www.biltrewards.com/,31 Bond St,New York,NY,,1,2019,6,4,14,30,44,,,"$35,550,000 ",,"$213,300,000 ","$2,000,000 ",372.87%,181.73%,"$1,500,000,000 ",2022,,,1-Feb-19,"$300,000 ",1-Sep-20,"$3,000,000 ",,,21-Sep-21,"$60,000,000 ",,,,,,,,,,,,,,,25-Oct-22,"$150,000,000 ",,,,,
Envoy,,"Office, Industrial, Other",https://angel.co/company/envoy,https://www.crunchbase.com/organization/envoy,https://envoy.com/,,San Francisco,CA,,1,2013,12,4,20,50,48,,27,"$14,183,333 ",,"$170,200,000 ","$45,200,000 ",210.12%,45.83%,"$1,411,000,000 ",2022,,,,,2-Dec-13,"$1,200,000 ",,," Jun 23, 2015","$15,000,000 "," Oct 23, 2018   ","$43,000,000 ",11-Jan-22,"$111,000,000 ",,,,,,,,,,,,,,,,,
Sun King,,Residential,,https://www.crunchbase.com/organization/greenlight-planet,https://sunking.com/,,Chicago,IL,,3,2007,15,5,21,24,12,,,"$47,133,333 ",,"$707,000,000 ",,,,"$1,300,000,000 ",2022,,,,,,,,,18-Apr-12,"$4,000,000 ",4-Feb-15,"$8,000,000 ",6-Dec-17,"$60,000,000 ",15-Dec-22,"$330,000,000 ",,,,,,,,,,,30-May-23,"$305,000,000 ",,,
TravelPerk,,Hospitality,https://angel.co/company/travelperk,https://www.crunchbase.com/organization/travelperk,https://www.travelperk.com/,,Barcelona,Spain,,3,2015,10,6,21,26,31,,14,"$42,620,000 ",,"$426,200,000 ","$54,400,000 ",138.35%,68.39%,"$1,300,000,000 ",2022,,,,,1-Mar-16,"$1,500,000 ",,,9-Jun-16,"$7,000,000 ",10-Apr-18,"$21,000,000 ",18-Jul-19,"$103,700,000 ",12-Jan-22,"$275,000,000 ",,,,,,,,,7-Jul-23,"$18,000,000 ",29-Apr-21,,,,
Sidewalk Infrastructure Partners (SIP),,ALL,,https://www.crunchbase.com/organization/sidewalk-infrastructure-partners/investor_financials,https://www.sidewalkinfra.com/,,NY,NY,,2,2019,6,2,23,7,7,,51,"$133,333,333 ",,"$800,000,000 ",,0.00%,0.00%,"$1,250,000,000 ",2022,,,,,,,,,7-May-20,"$400,000,000 ",,,,,,,,,,,,,,,2-Feb-22,"$400,000,000 ",,,,,
1Komma5°,,,,https://www.crunchbase.com/organization/1komma5,https://www.1komma5grad.com/,,,,,4,2021,4,2,25,10,23,,,"$122,315,625 ",,"$489,262,500 ",,,,"$1,087,285,000 ",2023,,,,,,,,,11-Apr-22,"$217,450,000 ",23-Jun-23,"$271,812,500 ",,,,,,,,,,,,,,,,,,,
Branch,,Commercial,,https://www.crunchbase.com/organization/branch-financial,https://www.ourbranch.com/,,Columbus,OH,,2,2017,8,4,26,37,42,,,"$28,687,500 ",,"$229,500,000 ",,,,"$1,050,000,000 ",2022,,,,,1-Jan-18,"$8,500,000 ",,,22-Jul-20,"$24,000,000 ",9-Jun-21,"$50,000,000 ",8-Jun-22,"$147,000,000 ",,,,,,,,,,,,,,,,,
Density,,Office,https://angel.co/company/density,https://www.crunchbase.com/organization/density,https://www.density.io/,369 Sutter St.,San Francisco,CA,94108,6,2014,11,6,26,46,43,,11,"$19,745,455 ",,"$217,200,000 ","$7,500,000 ",192.40%,79.54%,"$1,050,000,000 ",2021,,,,,16-Oct-14,"$200,000 ",,,27-Jul-16,"$4,000,000 ",29-Jun-18,"$12,000,000 ",28-Jul-20,"$51,000,000 ",10-Nov-21,"$125,000,000 ",,,,,,,,,13-Apr-21,"$25,000,000 ",,,,,
H2 Green Steel,,Construction,,https://www.crunchbase.com/organization/h2-green-steel,https://www.h2greensteel.com/,"Riddargatan 23 A, 1 tr. 114 57 ",Stockholm,Sweden,,-,2020,5,4,28,1,1,,,"$772,680,000 ",,"$3,863,400,000 ",,,,"$1,000,000,000 ",Estimate,,,,,,,,,25-May-21,"$105,000,000 ",29-Aug-22,"$258,400,000 ",,,,,,,,,,,,,,,24-Oct-22,"$3,500,000,000 ",,,
SageSure,,,,https://www.crunchbase.com/organization/sagesure-insurance-managers,https://www.sagesure.com/,,,,,1,2005,20,4,28,28,7,,,"$40,000,000 ",,"$800,000,000 ",,,,"$1,000,000,000 ",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto,,Residential,,https://www.crunchbase.com/organization/palmetto,http://www.palmetto.com/,,Charleston,SC,,1,2009,16,5,28,29,14,,,"$38,974,813 ",,"$623,597,000 ","$58,000,000 ",,,"$1,000,000,000 ",2022,,,,,,,,,9-Sep-18,"$6,000,000 ",3-Aug-20,"$29,000,000 ",24-Feb-22,"$375,000,000 ",,,,,,,,,,,6-Mar-23,"$150,000,000 ",1-Jan-22,"$63,597,000 ",,,
Electric Hydrogen,,,,https://www.crunchbase.com/organization/electric-hydrogen-co,https://www.eh2.com/,,,,,3,2020,5,3,28,11,15,,,"$120,400,000 ",,"$602,000,000 ",,,,"$1,000,000,000 ",2023,,,,,,,,,23-Jun-21,"$24,000,000 ",22-Jun-22,"$198,000,000 ",2-Oct-23,"$380,000,000 ",,,,,,,,,,,,,,,,,
Habi,,Residential,,https://www.crunchbase.com/organization/habi-fefd,https://habi.co/,30 Carrera 14 93A,Bogota,Colombia,,2,2019,6,5,28,12,18,,8,"$91,133,333 ",,"$546,800,000 ","$11,000,000 ",111.23%,86.48%,"$1,000,000,000 ",2022,,,15-Nov-19,"$5,500,000 ",,,,,26-Aug-20,"$10,000,000 ",23-Jun-21,"$100,000,000 ","May 12th, 2022","$200,000,000 ",,,,,,,,,,,,,1-Jun-23,"$231,300,000 ",,,
Turntide Technologies,,ALL,,https://www.crunchbase.com/organization/software-motor-company,https://turntide.com/,1295 Forgewood Avenue,Sunnyvale,CA,94089,3,2013,12,5,28,27,21,,,"$40,956,008 ",,"$491,472,100 ","$56,100,000 ",137.35%,43.35%,"$1,000,000,000 ",2022,,,,,28-Mar-14,"$3,000,000 ",,,25-Jun-19,"$44,500,000 ",24-Sep-20,"$58,000,000 ",,,,,,,,,,,,,15-Jun-22,"$160,000,000 ",30-Jun-21,"$225,972,100 ",,,
Mosaic,,Residential,https://angel.co/company/mosaic,https://www.crunchbase.com/organization/solar-mosaic,https://joinmosaic.com/,,Oakland,CA,,4,2011,14,4,28,31,24,,,"$34,907,143 ",,"$488,700,000 ",,,,"$1,000,000,000 ",2022,,,,,,,,,31-May-12,"$3,700,000 ",29-Jul-13,"$15,000,000 ",,,,,,,,,,,,,13-Mar-14,"$6,500,000 ",24-Aug-16,"$463,500,000 ",,,
Orchard,,Residential,https://angel.co/company/orchardhomes,https://www.crunchbase.com/organization/orchardhomes,https://orchard.com/,,New York,NY,,2,2017,8,5,28,17,25,,26,"$59,000,000 ",,"$472,000,000 ","$2,300,000 ",85.56%,47.16%,"$1,000,000,000 ",2021,,,,,,,,,10-May-18,"$10,000,000 ",7-Jan-20,"$56,000,000 ",10-Sep-20,"$86,000,000 ",9-Sep-21,"$100,000,000 ",,,,,,,,,,,2-Apr-19,"$220,000,000 ",,,
NoBroker,,"Residential, Multifamily, Commercial",https://angel.co/company/nobroker-2,https://www.crunchbase.com/organization/nobroker,https://www.nobroker.in/,,Bangalore,India,,3,2014,11,6,28,32,32,,,"$34,536,364 ",,"$379,900,000 ","$8,500,000 ",,,"$1,000,000,000 ",2021,,,,,1-Jan-13,,1-Mar-14,,23-Feb-15,"$3,000,000 ",19-Dec-16,"$17,000,000 ",5-Nov-19,"$61,000,000 ",16-Apr-20,"$80,000,000 ",1-Mar-23,"$216,400,000 ",,,,,,,,,4-Jun-19,"$2,500,000 ",,,
Prescient,,Multifamily,,https://www.crunchbase.com/organization/prescient,https://prescientco.com/,1910 South Blvd,Charlotte,NC,28203,3,2012,13,6,28,42,37,,34,"$22,723,077 ",,"$295,400,000 ","$65,000,000 ",107.22%,39.97%,"$1,000,000,000 ",Estimate,,,,,12-Sep-12,"$2,400,000 ",,,20-Nov-13,"$3,000,000 ",1-Sep-14,"$10,000,000 ",,,25-Apr-17,"$40,000,000 ",23-Jul-18,"$50,000,000.00 ",,,,,,,3-May-21,"$190,000,000 ",,,,,
